IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId,year
180318931,SUICIDE,ATTEMPTED SUICIDE BY STRANGULATION,Monday,04/30/2018,06:30:00,TARAVAL,NONE,0 Block of BRUCE AV,-122.45168059935614,37.72218061554315,POINT (-122.45168059935614 37.72218061554315),18031893160090,2018
180315501,SUICIDE,ATTEMPTED SUICIDE BY JUMPING,Saturday,04/28/2018,17:54:00,NORTHERN,NONE,700 Block of HAYES ST,-122.42876060987851,37.77620120112792,POINT (-122.42876060987851 37.77620120112792),18031550160070,2018
180295674,SUICIDE,SUICIDE BY LACERATION,Saturday,04/21/2018,12:20:00,RICHMOND,NONE,3700 Block of CLAY ST,-122.45462091999406,37.7881754224736,POINT (-122.45462091999406 37.7881754224736),18029567460180,2018
180263659,SUICIDE,SUICIDE,Tuesday,04/10/2018,05:13:00,CENTRAL,NONE,0 Block of DRUMM ST,-122.39642194376758,37.79414474237039,POINT (-122.39642194376758 37.79414474237039),18026365960110,2018
180235523,SUICIDE,ATTEMPTED SUICIDE BY INGESTION,Friday,03/30/2018,09:15:00,TARAVAL,NONE,0 Block of FAIRFIELD WY,-122.46324153155875,37.72679184368551,POINT (-122.46324153155875 37.72679184368551),18023552360060,2018
180236515,SUICIDE,SUICIDE BY ASPHYXIATION,Thursday,03/29/2018,17:30:00,RICHMOND,NONE,300 Block of 29TH AV,-122.48929119750689,37.782735835121265,POINT (-122.48929119750689 37.782735835121265),18023651560120,2018
180212719,SUICIDE,ATTEMPTED SUICIDE,Wednesday,03/21/2018,14:30:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,POINT (-122.40340479147905 37.775420706711),18021271960010,2018
180203683,SUICIDE,ATTEMPTED SUICIDE BY JUMPING,Saturday,03/17/2018,22:25:00,SOUTHERN,NONE,0 Block of 12TH ST,-122.42000143696421,37.774094856688166,POINT (-122.42000143696421 37.774094856688166),18020368360070,2018
180192804,SUICIDE,ATTEMPTED SUICIDE BY INGESTION,Tuesday,03/13/2018,22:08:00,NORTHERN,NONE,1100 Block of POST ST,-122.42075384839924,37.78666700849116,POINT (-122.42075384839924 37.78666700849116),18019280460060,2018
180153129,SUICIDE,SUICIDE BY STRANGULATION,Monday,02/26/2018,11:45:00,NORTHERN,NONE,2800 Block of WEBSTER ST,-122.43368578883981,37.796849992945845,POINT (-122.43368578883981 37.796849992945845),18015312960190,2018
